,"Здравствуйте. Как обновить карти?"
,"Работа аппарата понравилась, причем как с программой Libelle так и на других, ставил и и все работало хорошо, Сигнал ловит быстро, пробовал при разной погоде - получалось не более 30 секунд."
,"Хотелось бы узнать читает ли он текстовые форматы? Можно ли книги читать?"
4,"Из всех навигаторов что были - сама адекватная работа сенсорного экрана, несмотря на то что он резистивный. Звук, даже не максимуме не скрипит, что приятно радует."
,"В этом навигатере нет многих городов в Донецкой области И найти их нет возможности Не подключаеться черз блютус к интернету Акамулятора хватает на 15 мин работы Разачаровался"
,"Для пятидюймового экрана тут просто отличное разрешение, да и цвета достаточно яркие, видно хорошо. К картам тоже претензий нет, уже успел и в соседнюю область по нему съездить. Приехал вообще без проблем и по номальным дорогам. Маршруты прокладывает за несколько секунд, так что я рад такой покупке."
,"Хороший навигатор, хорошие карты. Пользуюсь 2 недели, вопросв нет.маршруты и по городу и между городами показывает правильные!"
,"Навигатор понравился, работает быстро, да и карты Украины достаточно подробные. Спутники находит быстро, ждать не приходится. Сел, завел машину, проложил маршрут и поехал. Наотал с ним уже две тысячи км, пока всегда приводил в нужное место и по нормальной дороге."
3,"Не рекомендую"
,"Навигатор во многом хорош. Экран хороший с яркими цветами, да и программа навигации не подводила еще не разу. Все маршруты точные, обновления бесплатные. спутники находит в течение минуты. Короче сел, включил и поехал, всё норм!"
,"Дам-с-с, месяц не мог нарадоваться покупкой :) И вот те на, получи гранату! Сдох сенсор! (не падал, не разбирался, просто тупо умер!!!)Ни с того ни с сего. Несу в сервис розетки. Дальше будем посмотреть!"
,"Добрый день! Подскажите пожалуйста как включается Bluetooth? Заранее спасибо."
3,"Купил этот GPS где то месяца 2 назад,первую неделю работал отлично,а последнее время глючит сам выключаеся.Просто ужас!"
1,"Проработал 1год и 1 месяц и умер не знаю от чего. Последний раз завис. Выключить не смог. так и лежал. Гарантия была на 1 год. теперь только выкинуть)"
,"Интересует подключение камеры,есть проблемы??"
1,"Добрый день! стал &quot;счастливым&quot; обладателем данной модели... буду краток, так как пишу на эмоциях... срок службы 3 недели!!! 1 неделя все нормально, 2 неделя подвисание, 3 неделя сплошные перезагрузки, и просто белый экран.. все... + введет по маршруту не различая знаков (на кирпич, кратчайший путь введет по кругу.. это меня вообще возмутило!.. выберал эту модель по отзывам, думал что реально хороший навигатор, но теперь понимаю что сэкономив несколько грн. теперь буду ждать 2 недели в сер. центре и кто знает как он себя покажет дальше.. Я разочарован.. жаль...."
4,"Подскажите как активировать карты мира на этом GPS? Заранее спасибо."
,"Подскажите, каким образом включается изображение от камеры заднего вида ? автоматом, или надо каждый раз , здавая назад, в меню включать ?"
,"Можно ли на это чудо техники загнать АйГО? И что из себя предустановленные карты. никогда ними не пользовался, только АйГО и Навител"
,"я отфармотировал встроеную карту памяти на которой была карта Libelle,а поставить другую не могу как удалил файлы папки отвечающие за путь к навигации...помогите!!!"
,"Подскажите пожалуйста как можна на эту модель поставить карты Navitel?"
,"Купил себе это чудо. Катаюсь и никак не нарадуюсь. Очень приличные карты и качество сборки."
,"Солидный девайс. Юзаю около 2х месяцев. Впечатления хорошие. Управление с интерфейсом удобные и понятные. Дисплей достаточно большой чтобы всё разглядеть."
,"Хороший аппарат даже судя по тому, что эран маленький всё равно прекрасно видно и даже не стоит менять его на что-то другое. Полностью устраевает"
3,"Общее впечатление хорошее. Спутники находит быстро.Время от включения устройства и до прокладки маршрута не более 5 минут. Карты нужно закачивать дополнительно. С магазина шла только карта украины. Но здесь трудностей не возникло. Иногда спутники при подъезде к крупным городам збивались. При прокладке маршрута по програме &quot;КОРОТКО&quot; практически всегда ведет по грунтовым дорогам, лучше выбирать &quot;БЫСТРО&quot;. Единственное что не понравилось - то,что экран часто отсвечивает и в городе возникают проблемы с отвлечением внимания на распознавание маршрута."
5,"Купил этот навигатор,пользуюсь месяц,Отлично всё работает всё обновляется и ничего не тормозит."
,"Нормальный аппарат, и качество картинки на нем для пятидюймового навигатора зачетное, и спутники находит быстро. Карты уже в комплекте так что сел и поехал с ним, удобно."
,"Хороший регистратор, но т.к. он у меня 1-й я не сразу разобрался как установит пункт моего назначения (адрес), в розетке сказали, что по телефоеу расказать будет затруднительно нужно ехать к ним и все объяснят ( впринципе правильно). Но багодаряю тубу разобрался. Отлично прокладывает дорогу, оказалось все просто и удобно,большего экрана не нужно,голосовые подсказки отличные,можно подключить камеру заднего вида в разъем AV. Хорошее крепление. Батарея держит около 2 часов, так что постоянно на зарядке. С виду кажется что стоит дороже. Вообщем советую."
,"купила по отзывам,плохо определяет место нахождения,связывалась с службой поддержки либель сказали сделать холодный старт,но это наверное нужно делать каждый день потому что не определяет место нахождения.напишите что делать"
5,"Як навігатор супер! Музика звучить нормально,а фільми підторможують дивитися важко. В загальному варто взяти."
,"Отличный экран, который в одно и то же время компактный и с хорошим качеством изображения. По самой навигации нет претензий. Карты в комплекте более чем подробные, всё работает отлично, да и спутники устройство находит быстро."
,"Скажите пожалуйста, можно ли на него установить другие программы (типа офиса, органайзера, игр и т.д.), если можно то как?"
,"под разьём AV какой шнур нуно преобрести? Простой 3.5 не подходит !-нуно меньше :("
,"подскажите пожалуйста, как его зарядить полностью первый раз? В комплекте только юсби шнур и зарядка от прикуривателя. Подключил к компу, включил его, а там только зарядка бегает по экрану и нельзя воспользоваться меню"
,"Все неплохо, маршруты и карты тут на уровне, да и разрешение экрана хорошее, претензий нет, отличный навигатор, особенно за такую небольшую относительно сумму."
,"Нормальный навигатор за небольшую сумму. особенно мне нравиться то что тут экран пришличный, да и спутники находит прибор шустро. Особых претензий нет, по городу водит отлично!"
,"Отличный нави. Недорогой и с нормальным экраном, карты в комплекте есть, так что никаких лишних действий делать не нужно. Взял, спутники нашел и поехал, никаких проблем!"
,"Нормальная модель для людей. Тут все удобно доступно и работает. Лишних понтов нет, но навигация на очень достойном уровне!"
,"купили этот навигатор,видео читает,а музыку нет!!!!что эт может быть?может другой формат надо,а не мр3?"
,"Долго выбирал, но в конце концов остановился на этой модельке. Дело в том что тут и цена приемлемая, и соотношение функционал-качество не подкачало. Пока проблем с ним нет, работает четко, все заявленное есть, так что я доволен, нет вопросов."
4,"Хороший апарат, тим більше за такі гроші. Кріплення дуже надійне, як сама присоска, так і пластмаса з якої зроблене кріплення. Сам девайс також на хорошому рівні. Карти які вже встановленні попередньо на ньому, від Libelle, дуже детальні, вплоть до відображення світлофорів, стежок та ліній електромереж. На пристрій можна закинути і навігаційну програму Navitel, чи ,будь яку іншу, яка працює на ОС Windows CE 6.0-6.5"
,"Недорогая и стильная моделька, да и крепление мне понравилось, сложнее отцепить чем прицепить!)) Работает без сбое вот уже 2 недели с момента покупки, пока нравиться всё. Если что вдруг случится - отпишусь!)"
,"Простой и удобный в использовании. До сих пор радует то что управление приятное и понятное интуитивно что к чему. Да и по картам нет претензий. Маршруты быстро прокладывает и по городу и между городами. Уже катался с ним в соседнюю область, доехал как по нотам!))"
,"По Украине работает хорошо, а карты мира с официального сайта Либель не устанавливаются. Для поездки в Россию пришлось устанавливать Навител"
,"Спасибо за прекрасную покупку. Желаю вам успехов в новом году."
,"У меня такой вопрос: сколько времени этот навигатор должен работать после полной зарядки? У меня через 20 минут разряжается."
,"Недавно купил это чудо техники. Визуально выглядит неплохо. Определяет местоположение точно, пока дороги показывает правильно. В моем навигаторе установлена только карта Украины, карт мира нет. При покупке думал, что они установлены по умолчанию, а тут такой сюрприз))) Пытаюсь сейчас скачать с сайта Либель карты России. Подскажите как правильно их нужно устанавливать и куда вводится лицензионный ключ?"
,"Инструмент хороший, но с фанариком бывают проблемы: сам включается."
,"Скажите, пожалуйста, можно ли на этом навигаторе смотреть фильмы? и можно ли смотреть погоду и давление? я знаю что такая функция есть в картах Navitel"
,"Кто-нибудь может сказать, как ведет себя навигатор в пасмурную погоду или между многоэтажек? Не теряется ли сигнал?"
,"Хотела мужу подарить эту модель, но не могу понять 66 каналов - это что за каналы? и есть ли в нем еще и видео регистратор ?"
,"Мне его подарили на д.р., и мне понравился такой подарок! Сейчас даже не представляю как я без него ездил!)) Особенно классно то, что разобраться тут с ним - раз плюнуть, всё очень доступно пониманию."
,"Небольшой по габаритам, но шустрый! Дело свое знает и водит меня по Украине вообще без проблем, крепление классное, да и стоит прибор недорого!"
,"Широкий выбор карт либель, причем бесплатно - это очень порадовало, карта Украины - вообще бомба, в моем городе (Донецке) - так вообще практически каждый закоулок знает!"
,"Хороший функционал навигатора плюс хорошие карты. Меня всё устраивает, езжу с ним и проблем не знаю. Особенно выручает в незнакомых местах!"
,"Киевляне, как вам устройство? Киев хорошо прорисовывает?"
,"может ли он 3д карты показывать ?"
,"Хтось користувався даними картами за кордоном? Наприклад в Німеччині? Наскільки коретно вони вибирають маршрут?"
,"Вроде все гуд, кроме одной дороги, центральной в нашем городе, постоянно показывает обезжать один нормальный асфальтированныйучасток по другой грунтовой галимой догоге шириной в 3 метра)) где никто не ездит, может карта для этого города неочень."
4,"Пока ездил только по своему городу. он небольшой. но всегда ведет в некотрых местах не правильно. например прокладывает маршрут по грунтовой, даже если я поставил обходить грунтовые. и в центре города постоянно проклажывает обезд прекрасного асфальтированного участка центральной улицы другой грунтовой улицей шириной в 3 метра которая))"
,"Навигатор из премиум линейки - высокое разрешение, блютуз, av и тп. Либель навигация - отдельная тема - пять баллов."
,"Не пойму почему об этой модели так мало отзывов, она ведь легко утрет нос многим, даже если брать чисто по параметрам. Внешний вид приятный, притягательный** - меня сразу зацепил как увидел. Карты очень хорошие, по Умани проверил лично - все четко. Обратите внимание!"
5,"Знает всё что необходимо для комфортного путешествия. Не раз пользовался поиском ближайшей АЗС или кафешки. В целом производит впечатление очень качественного устройства."
5,"Классно дорогу подсказывает - тупо правильно все. При этом когда сходишь с маршрута, то перепрокладывает по новой почти сразу же, так что не сходишь с ума, а как же дальше ?!)) Вообще и навигатор хороший, спутники очень быстро ловит, даже если не работал долгое время."
5,"Любо дорого лицезреть этот чудо навигатор в своем автомобиле. Хорошо работает - это только самая малость его преимуществ. Отличнейший экран. Мощный аккумулятор. Блютуз. Видеовход. И наконец карты компании Libelle. Все это делает работу с устройством поистине великолепной."
5,"Лучший подарок для любимого."
5,"Покупал по совету друга, и не ошибся. Могу посоветовать для тех кому нужно: отличный экран, блютуз, фмка, видеовход, и самое главное это конечно же карты, с нормальной поддержкой."
5,"Скорее всего нет лучше навигатора, чем этот. Просто столько всего получаешь за относительно небольшую цену, да еще и не просто навигацию от кого то, а самую актуальную по картам на сегодня Libelle. Для себя сделал вывод, что есть недорогие и безусловно качественные продукты от фирмы Palmann, буду теперь всем рекомендовать."
5,"Напичкан по полной, тут тебе и блютуз с возможностью выхода в интернет, и экран с высоким разрешением, и фмка, плюс карты ко всему прочему найподробнейшие на сейчас. Однозначно рекомендую к покупке."
5,"Прежде всего понравился внешний вид - хорошо подогнаны части корпуса, без зазоров. Экран хорошо рисует картинку, сразу можно оценить антиблик - полезнейшая вещь. Все остальное по мелочи но притяно что есть. Карты на пятерочку."
5,"Выбтрал что то недорогое но качествонное, что в итоге имеем: неплохой HD экран, отличная навигация от Либель, блютуз, видеовход, фм - все на борту. Хороший набор для нормальной навигации, причем достаточно недорог. Рекомендую."
