,"Добрый день, подскажите как обстоят дела с обновлением карт?"
,"Есть ли в этом навигаторе &quot;Голосовая помощь&quot;?"
5,"4 дня без перерива и все окей не глючит работает на 5+ можна по жиланию другую навигацию поставить. все пости ДАІ пок... и радари в том числе )"
5,"Навигатор с основной задачей справляется просто отлично, быстро четко, карты подробные. Дополнительный функционал тоже в наличии. Можно было бы расширить его за счет подключения к интернету, но этот навигатор я бы сказал исключительно для навигации. С этой задачей он справляется на ура, так что доволен!"
,"не тормозит, карта работает хорошо, навигатором доволен"
,"Соотношение цена - качество идеальное, хороший дивайс за умеренную цену"
,"На второй день поломалась зарядка от прикуривателя!!! Где можно найти такую в Украине (Запорожье)?"
5,"очень хороший качественный gps работает на ура!!!"
,"подскажите пожалуйста уважаемые поддержка / пользователи сего девайса.. он о дорожных знаках предупреждает? учитывает их как то?"
3,"Пользуюсь уже два года, поэтому внимайте Работал с ним в такси в г. Днепропетровск. Карта Libelle мне нравится, особенно нравится то, что при назначении конечного пункта есть возможность увидеть сначала саму точку на карте, потом маршрут на карте, а уж только потом к следованию по маршруту. Пресловутый Garmin c картой Аэроскан этого не делает, не показывает он также расстояние до точки прибытия, а только расчетное время до нее. Для людей с плохим зрением карта покажется слишком мелкой, зато для людей с хорошим - информативной. Перспектива прорисовывается достаточно для того, чтобы самому можно было принять решение об отклонении от маршрута (в том случае, если Вы знаете больше навигатора ;-). Удобно также и то, что на зданиях указаны номера домов (Аэроскан опять сакс).Позиционирование четкое, бывают сбои летом в местах, где много старых деревьев и густая листва. Вобщем, первые полгода я был очень доволен. Пока не умер тачскрин. По гарантии его отремонтировали за 2 дня. И еще полгода я был очень доволен. Пока тачскрин опять не умер. Работу в такси сменила работа в офисе, т.о. гаждет был забыт и заброшен до этой недели. Замена тачскрина в СЦ обошлась в пару сотен. и те же 2 дня ожидания. Работники СЦ сказали, что у них есть свой ресурс по нажатиям, а данный экземпляр - не из самых выносливых (мягко говоря). За 2 года вышло 3 обновления. Вывод: хороший бюджетный гаджет не для профессионального использования. Если не планируете работать с ним как начинающий таксист - берите не пожалеете. В противном случае рекомендую обратить внимание на более дорогих и надежных производителей. З.Ы.: для коменнтаторов из серии &quot;неправильно определяет местоположение&quot; настоятельная рекомендация: ЧИТАЙТЕ ВНИМАТЕЛЬНО ИНСТРУКЦИЮ!"
,"Помогите, пожалуйста. Купила навигатор на подарок другу. При первом включении навигатор не правильно определяет местоположение.Указывает мое местоположение как Черкассы, хотя я нахожусь в Ватутино, это километров 200 от них) Что делать? Неудобно перед другом. Помогите!"
5,"Хороший і практичний пристрій."
,"доброго дня сюди можна поставити навітел???"
,"Прото шик. Знает все адреса и правильно показывает дорогу и в городе и между городами. Днепропетровск - Винница доехал без проблем. Ехал по нему прямо от своего дома до дома родственников. Навик просто бомба!"
,"Аппарат что надо. В машине является надежным &quot;штурманом&quot; накатал с этим навигатором уже почти 2000 км, пока всё нормально. Знает и улицы и номера домов, голосовые подсказки есть, а самое главное что тут уже все карты установлены, вообщем включил и пользуйся!"
,"Стильно выглядит, качественно принимает сгнал от спутников, дорогу показывает правильно. Есть и мультимедийный функции, но я ими не пользуюсь. Использую аппарат исключительно для навигации, и аппарат отлично справляется."
,"Корпус, экран, качество приема сигнала от спутников, карта - всё отлично продумано и работает на высоте. Доволен и пока ни на что другое менять не собираюсь. GPS в смартфоне и рядом не стоял."
5,"Отличный навигатор!Рекомендую.Очень прост в управлении и карты либель-очень подробные"
,"Купил год назад и ни разу не пожалел. Не тупит и не глючит, очень подробные карты и еще к тому же недорогой."
,"Навик классный во всех отношениях. Во-первых сам по себе собран нормально и дисплей яркий, а во-вторых карты на нем уже установлены, по Украине водит просто отлично, знает все улицы и переулки."
,"рекомендую"
,"Мені не сподобався, через те, що не зрозуміле меню лібель карт...і самі карти не дуже, навітел хоть він і російський, але норм показує адресу, ту яку вбиваєш в пошук.. Я його взяв на подарунок співробітнику, але тепер пожалів, краще б взяв пионер 5050 на навітелі.."
,"Классный навигатор. Пользуюсь три года, за те деньги, что я потратил, отличный аппарат. Особенно нравится, что есть прокладка маршрута до дома для многих маленьких городов, со всеми интересующими точками (кафе, заправки, исторические достопримечательности и др). Программа Либели обновляется, карты тоже. Очень доволен."
,"Подарила подруге. Она довольна, быстро разобралась с маршрутами. Для чайника в вождении, еще и по Киеву - супер нужная штука"
4,"В общем. Приобрел, на первый взгляд все в порядке. Шнур питания короткий(свернут в локон, когда растягиваешь все равно неважно). Качество сборки в принципе нормально-не люфтит, не скрипит. Вначале не смог разобраться с определением местоположения, загуглил. Написано что первый запуск(холодный старт так называемый) может длиться от 20 до 30 минут, притом вне помещения. Сегодня поставил в машину, нашел кучу спутников, все ок. Шустро работает, нормально реагирует сенсор. Видяшки, музыка без проблем, ничего не подтормаживает (видео и музыку закидывать в Вами созданную папку-называйте как хотите). Брал не здесь и с Навител, почему то Либелле не доверился(товарищ отговорил)."
1,"Libelle - перекладається як &quot;Стрекоза&quot;. 100% виправдовує назву. Ви бачили як літае стрекоза? То висить нерухомо, то різко сіпається убік. Так і тут: перед поворотом тупить, потім губить супутник і починає перепрокладати маршрут. Доки це робить, Ви проминаете потрібний поворот .... і знову перепрокладає маршрут. Їхали літом з родиною на море, коло Вінниці вирішили зрізати, бо трасса була дуже завантажна. Завів у таки дебрі, що довелося питати місцевих як виїхати. Намотали зайвих 120 км, згаяли 3 години часу, про нерви взагалі мовчу... При тому що за день перед поїздкою оновив усі карти... Приїхав додому - перепрошив на Навітел - те, що треба! Висновок: сам пристрій непоганий, а навігаційна система.... не слів, треба перепрошивати."
,"Аккумулятор навигатора поддерживает автономную работу не более 5 минут. Это перечеркивает все положительные качества прибора ."
,"Какое качество сборки навигатора,указывает ли он маршрут от точки до точки,есть ли голосовое оповещение,именно в том,в каком месте и где надо повернуть,или через сколько метров нужный поворот,всем спасибо кто ответит."
,"Доброго дня цей навігатор підійде для вантажного автомобіля масою більше 3.5 тонн"
,"мені потрібен був недоргий навігатор з картою Європи(маю навігатор з картою Ураїни Navio,не хотів перепрошивати) Сам навігатор нічого(не глючить, чіткий сенсор, вкл.-викл. із зажиганія,гарний дизайн,зручне кріплення,хоча шнур трішки коротший,ніж в інших, проте вистачає,при тому,що прикурувач в самому низу авто) Назагал сам навігатор добрий-рекомендую,при умові перепрошивати на іншу карту...Працюю з навігаторами не перший рік і зустрічав різні прошивки...особисто для мене система Libelle не зручна.Так, у неї багато дуже функцій(показує світлофори,знаки, швидкість),але користуватись дуже не зручно(забагато функцій,які потрібно уточняти,а находу займає багато часу) При покупці є встанвлена карта України(проте не детальна-є тільки великі вулиці міста),а карту Європи потрібно закачувати.Це не проблема, в комплекті є ключ ліцензійний.Коли я скачав карту Польщі і Німеччини,то їх разом нема(потрібно вибирати у настройках-або Україна, або Польща...) В результаті перепрошив на систему IGO Prime...(150 грн.) Забув про всі проблеми,всі карти Європи є,їздити зручно...Вже був з навігатором у Польщі-показує все"
,"zdravstvyite!podskagite,esli vozmy navigator na ukraine,budet rabotat za granicei?iordaniya. spasibo!otzovites!))"
5,"Берите не пожалеете! Купили себе нарадоваться не можем!"
,"Очень низкое качество, много брака. Купил и вернул, очень глючит сенсор :("
,"Подскажите, кто брал Libelle в Крым, как карты и приём (Симферополь, Севастополь, Ялта)?"
,"На пешом ходу он работает?"
,"Хочу на купить на подарок другу,подскажите,стоит ли брать эту модель?Надо сразу покупать лицензионный ключ,если да-то сколько он стоит?Если нет-то карты новые?Спасибо"
,"а он поддерживает программу OziExplorer?"
,"купил две недели назад навигатор - фигня полная - провод питания короткий, крепеж неудобный, при включение питания надо навигатор каждый раз снимать чтоб включить ресет, сам навигат ор не работает - не ведет спутник, первоначальную точку не определяет - хочет чтоб сам определял - и прошивка вообще оказалась не Palmanновская - развод полный. В придачу взял Алкометр Luxury 2120- сразу не рабочий - предложили за 40грн отправить назад (его цена 58грн). Если б такое знал вообще никогда бна такую аферу не пошел"
,"а как он себя ведёт в Европе. подскажите пожалуста"
,"купил навигатор - никак не могу начать работу - автоматически не вызначает место"
,"Понравился навигатор,карты стоят свежие,не требуют обновления. Подскажите,как обновить новую версию самого навигатора? Спасибо."
5,"Учитывая цену на товар - брать можно смело."
,"установил igo и забыл про все проблемы!!!! за такую это супер!"
,"есть ли карты попутных городов? переключает карты автоматически или же нужно в ручную?блекнет ли на солнце?"
3,"Оцениваю на &quot;удовлетворительно&quot;. Свою функцию выполняет, но вылезло множество неприятных недостатков: 1. Инструкция - это немногим больше, чем просто её отсутствие. Приходится разбираться методом тыка. 2. Нередки зависания при старте и при автоматическом выключении при снятии питания. 3. После установки стилус невозможно достать со штатного места. 4. После установки невозможно доступиться до кнопки Reset. 5. Есть парочка битых пикселей. 6. Коротковат провод питания, поэтому установить навигатор можно только по центру лобового стекла. Провод витой, если растянуть, может, достанет и в другое место, но неудобно. 7. Карта в режиме просмотра (т. е. когда не ведёт по маршруту) не ориентирована на север, а как получится, изменить её ориентацию невозможно. 8. Нет возможности (во всяком случае, в инструкции не описано и сам не нашёл) удалить с маршрута промежуточные точки или передвинуть их - приходится удалять весь маршрут и строить его заново. А в остальном - всё хорошо, всё хорошо!"
5,"Отличный выбор для тех, кому нужен именно навигатор, а не бортовой компьютер. Свою цену отрабатывает полностью, пользуюсь 3 недели, за это время поездил в Донецк, Харьков, Киев, Одессу - отлично работает, маршруты прокладывает быстро, не тупит. Все необходимые карты можно скачать с сайта. Короче - за свою цену, очень достойный аппарат!"
5,"очень демократичная цена, как по мне идеальный продукт для небольшого путешествия. В связке с libelle работает очень быстро. Только и делай, что успевай карты обновлять."
5,"Были вопросы по обновлению - техническая поддержка производителя очень сильно помогли. Сам навигатор отлично водит по Украине, я очень доволен покупкой!"
5,"Пользуюсь уже месяц - очень рад покупке. Получил намного больше чем ожидал, поэтому жаловаться ни на что не могу. Спасибо магазину!"
,"Привет всем!!! скажите пож-та ,я купила такой навигатор, но не могу никак в нем разобраться,его может как то надо настраивать? при поворат на машине я уже повернула ан мне только начинает говорить поверните на право,и еще карты может надо обновить??(если кто то знает скажите где это можно сделать)И как правильно настроить маршрут..."
4,"Брал больше года назад себе и тестю. С виду симпотичный, большой екран, меню интуитивно понятное, но вечерок (2-3 часа) потратить на ознакомление надо. Компьютер довольно таки информативный: сорость макс., средняя скорость, одометр за всё время использования, за промежут конкретный, время в пробке и т.д... Карты, я так понял сами обновляються (за время использования в Киеве открылось две розвязки и в GPS они появлялись после открытия (Поштова пл. и съезд с м.Патона)). Второстепенные дороги тоже нормально показывает (был случай, чтобы не делать круг в 8 км рескнул поехать через лес и не пожалел, кстати при желании второстепенны дороги можно отключить). Точность прибытия менее 10 м. По Украине вёл тоже отлично, без ошибок. Вечером или в пасмурную погоду екран темнеет и не слепит. Если расстояние одинаковое +,- 2 км. запоминает ту дорогу которой Вы проедите два три раза (удобно объезжать улицы с плохим асфальтом, вместо Васильковской еду по 40 летию). Если проскочили свой поворот перестраивает маршрут за несколько секунд. Есть радио, игры, книгочиталка и др. Вобщем моделька стоит своих денег. Минусы ниже."
4,"В целом навигатор понравился."
,"подскажите,как с карты удалить &quot;мои места&quot; (отметки)?"
,"Скажите пожалуста с какого сайта и как правильно обновлять карту?"
5,"ОТЛИЧНО ДЕРЖИТ МАРШРУТ И НЕ ТЕРЯЕТСЯ"
,"Согласен со всеми комментариями. Удобный. По советам - лучше брать не менее 5&quot;. Этот аппарат подходит как нельзя лучше. С помощью программы обновления, с оф.сайта карт, обновил карты. Доволен."
3,"Купиил отцу на подарок, пока он ездил с ним по украине проблем не было ни каких, а когда мы его у него отдолжи что б поехать в Беларусию, начал тупить ужасно, что мы в конечном итоге просто купили обычную карту!!((( обидно было!"
,"Очень понравилась модель,без глюков, удобный и точный!"
5,"Хорошая вешь, хорошее ПО. Все работает без глюков. Построение маршрута быстре, а главно точное."
,"Недорогой, но качественный аппарат. Карты довольно хорошие. В управлении простой. Нравится."
,"В своей ценовой категории - один из лучших. Карты работают точно и управлять ими легко. Менюшка простая и понятная. Мне понравился."
,"хороший навігатор, користуюся кожень день, маршрут прокладає якісно та голосові підказки є своєчасними та чіткими"
,"Цена очень вкусная ещё и карты сразу есть. Удобное управление. Собран добротно.Очень рад приобретению."
5,"Понравился"
,"Cкажите пожалуйста в GPS Навигаторе Palmann 512 А Libelle стандартное авто. крепление?"
,"Класный гаджет всё в нём устраевает и пакажет и раскажет куда надо ехать просто клас"
,"Приобрел данный навигатор и столкнулся с проблемой. Как и у многих не видит файлы mp3. писали что лечится установкой стороннего плеера. как его установить?? Помогите пожалуйста"
,"Собираюсь приобрести, интересует несколько вопросов: 1)разрешение экрана больно маленькое, каково качество изображения при просмотре фильмов и т.д. 2)На солнце изображение просматривается? 3)Можно установить к примеру Навител? 4) Можно ли подключать обычную USB флешку через переходник с USB на MiniUSB и уже с флешки этой слушать мп3, смотреть фильмы? 5) Что лучше взять данную модель или китайский &quot;якобы&quot; Пионер ?"
,"А как работает по росии"
,"Удобный девайс, хороший экран, точные карты, быстрое построение маршрута"
,"Помогите пож. Значит синхронизирую музык файлы установив в параметрах настройках их-но после синхр их нет в папке музыка, если как usb накопитель скинуть папку-то файлы в папке музыка нет а сама папка с файлами их не воспроизводит. Завтра бате дарить а я тут...) Сам аппарат вроде как прост и понятен-посмотрим что будет с после эксплуатации."
,"Хороший гаджет, особенно за свои деньги. Второй месяц безошибочно показывает куда ехать, да еще и голосом человеческим молвит. отлично!"
,"А почему у меня по селам и по маленьким городам не видно улиц?"
,"Доброго дня! Вибираю бюджетний навігатор з функцією ФМ-трансміттера (ця функція буде навіть частіше використовуватись ніж сама функція навігатора ). Поки вибираю між EasyGo 320 і Palmann 512А Libelle. Який вибрати, може ще який варіант хто підскаже? Був би вельми вдячний!"
5,"Две недели назад взял данны апарат. Сразу начал тестить. По картам претензий нет. Но по началу не читал МП3. с помощю техподдержки решил даную проблему скачиванием другого плеера. И вот все гуд. Видео, музыка на ура. Хорошо работает фм трансмиттер. Для такой цены минусов не нашел. Простенький технически - разобрался за час, и сразу в дорогу. Товар стоит этих денег, даже большего."
,"подскажите пожалуйста, видео загружается и проигрывается без проблем, а вот с музыкой туповато.Загружаю муз. файлы МР3 на флешку, захожу соответственно на навигаторе в музыку а там ничего не видно, не видит файлов. Попробовал в формате WMA, опять захожу, видно уже название файла ,а проигрывания опять нету. Подскажите может че не так делаю???"
,"Корпус - выше всяческих похвал, из-за этого прибор выглядит дороже своей цены, да и не только внешний вид порадовал. Встроенные карты отличные, вся Украина подробно расписана до каждой улочки. Теперь вряд-ли без навигатора будут ездить. Очень понравилось!"
,"То что нужно обычному водителю в машине для нормальной и простой в управлении навигации. Да и внешний вид с задней панелью под кожу откровенно впечатлил.)"
,"Выбрал за дизайн - очень уж понравился, не жалею что купил его. Брал чисто для навигации, она тут на уровне, карты подробные и работают быстро, короче нормальный аппарат. Рекомендую!"
,"Практичный аппарат! По навигации - просто отличный, да и к тому же на нем можно в игры играть и книжки читать, вообщем всё кул!)"
,"В целом, аппаратом доволен. прост в эксплуатации, радует качество зборки. Обновлял карты - без проблем! Карты подробные, но в ПО нет функции &quot;Маршрут для грузового транспорта&quot; И еще: не знаю у кого как, но у меня не читает МР3, только WMA. Может можно что-то сделать????"
,"Шикарный аппарат, просто шикарный, тем более за свою цену. Куча функций, но разобрался довольно быстро, да и программка в комплекте хороша. Изначально думал удалить и поставить навител, а сейчас либель мне даже больше нравится."
4,"купил сегодня,вот разбираюсь,создал папку в программе(фото-видео)но в меню навигатора вся музыка в куче в месте с голосовыми подсказками самого нави...вопрос-можно-ли что бы все было отдельно по папкам,а сам навигатор хорош для своей цены:)"
,"Записал на карту памяти фильмы и музыку, саму память устройство видит, а содержимое карты нет, в чём может быть проблема?"
4,"Навигатор хороший, но ПО немного сыровато, хотя сами карты подробные. Тоже не могла загрузить карты Европы, помогло обновление версии до 1.2.4. Хотя поиск по загранице всё равно не работает. Вопрос: тут стилус только в держателе? просто у меня была похожая по дизайну модель и он запихивался в сам навигатор сзади и тут тоже сзади что-то торчит, но вынуть его не удаётся :)"
,"Сам навигатор неплох. Чувствительный экран, быстрая отзывчивость. Программа Либеле некудышная. Не мог загрузить ни одной карты. Смарт тулс не помог. Загрузил Ай гоу.Всё работает."
,"Мне гаджет понравился! Использую его в поездках по Украине уже пару месяцев - так еще не разу не подводил! Маршруты правильные, карты очень годные, отмечены и камеры и светофоры!"
,"Максимально простой и доступный, всё что нужно в дороге в нем есть, отличный навигатор, да и цена откровенно порадовала."
,"Хорош собой, и дело свое знает. Главное что не тупит и быстро работает, за пару секунд прокладывает маршрут, а потом без проблем по нему ведет."
,"Стильно выполнен, в использовании простой, карты подробные. Большего от навигатора я и не ожидал! Меня устраивает всё!"
,"Внешний вид хороший. Качество материалов тоже. Украинская карта стоит на момент покупки. Но есть проблемы с загрузкой карт мира. При использовании Smart tools карты загружаются, но не открываются. Судя по форуму, не у меня одного."
4,"Карта Украины работает без проблем, а вот с картами мира проблема.Libele бесплатная по этому сырая программа."
5,"За такую цену и так супер! Обновил карту на 2012 год, все супер"
,"Скажите пожалуйста, есть ли у него возможность зарядки от сети 220 В, и если ДА, то входит ли в комплект поставки такое зарядное устройство?"
,"Для этих денег нормальный, единственно что, видео больше 1,5 гектар не воспроизводит, зависает. Карта в целом нормальная, но въезды во дворы многие не правильно указаны."
,"А як довго тримає батарея???"
,"Приобрел пару месяцев назад. Наедил уже немного немало - около восьмиста километров. Все время пользовался подсказками навиатора - ставлю твердую четверку. Четверку оттого, что к сожалению пока не может предвидеть ремонта дороги, так что все впереди еще )) Очень доволен выбором."
,"а его можно перевести в режим для пешехода?"
,"На третий день после покупки пропал звук, хотя иногда появляется и так же неожиданно пропадает. ПО жестоко тормозит, тач скрин не удобный и глючный. После 2 часов лежание на солнце отклеился экранчик. Винда на китайском и переключить ее на англ. не получилось. Также находит свое месторасположение очень долго (в пределах 5 минут). Среди приятных моментов - это цена, 5.1 дисплей, симпатичный внешний вид. В целом покупкой разочарован."
5,"Служит верой и правдой уже месяца четыре, все гуд."
5,"Очень удобный,быстрый,хорошо читаемый навигатор.Был в трех незнакомых городах как у себя дома.РЕКОМЕНДУЮ."
5,"Простецкий навик для села. Карты сел и полей актуальны как никогда, для меня, как для фермера очень удобно."
5,"Неплохой навик, работает без боков и не тупит, очень экономит мои нервы и мое время за рулем! У меня в машине тонировка, экран вообще не бликает, все цвета сочные и яркие."
5,"Удобный в пользовании, довольно легкий в освоении. Вот я например, накидал игрулек всяких, и пока там шефа жду, играюсь понемногу. По картам все ок."
,"Новая платформа пошла на пользу, по сравнению с остальными китайцами ловит спутники гараздо быстрее и уверенее. Кстати по слухам проц можно разогнать почти в два раза - мож кто занет ?"
5,"Мне понравился очень. Внешний вид плюс карты, плюс поддержка пользователей (затупил я). Кароче продуктик достойный получился."
5,"В личное пользование мне этот навигатор попал по наследству от знакомого, который взял себе более новую модель.По началу не мог привыкнуть к дополнительному разговору(подсказкам), потому что, настолько реалистичный звук, что иногда даже отвечать начинаешь) Потом ещё нашёл в нём музыку, которую видимо знакомый уже не стал удалять, и после того как разобрался с плеером , теперь ещё и с музыкой , когда не в пути. Пока мне всё нравится, навигация по Киеву нормально водит."
5,"Не навигатор, а ракета!"
5,"Если честно, купили шеф на подарок, искали что то недорогое. Как видится не прогодали - всем ЗП повысили ))))) Так что дерзайте."
,"Подскажите, как на него записать свои файлы видео и аудио?"
4,"нормально съездили в крым, в принципе все устроило. Яркость достаточно высока, просто в настройках выставить нужно поболее."
,"очень интересные отзывы и почти все такие хорошие. такое ощущение что я купил другой навигатор. с ним столько проблем , что перед покупкой советовал бы подержать его в руках. 1. в начале у меня не было голосовых подсказок, несколько дней с ним долбался, так ничего и не добился. потом звук появился сам, не понятно откуда. 2 когда же голосовые подсказки появились, появилась и другая проблема - говорит готовтесь к правому повороту, а потом говорит поверните на лево и так постоянно. 3 Самый главный минус - экран ЖУТКО ТУСКЛЫЙ. В солнечный день увидеть что либо на экране даже не пытайтесь. хотел сначала сдать его, но плюнул. не так часто нужен, буду уже мучатся с этим. подумайте перед тем как покупать.Да, и насчет карт иногда поражает своей осведомленностью, но в Севастополе упорно пытался меня завернуть то в кювет, то на тротуар и это в самом центре города!!!"
,"подскажите, а музыку слушать на этом навигаторе можно?"
,"Кто знает в этом навигаторе есть блютуз?"
,"правда sd-карты не поддерживает? Зачем тогда трансмиттер?"
,"этот модел навигатор для пишиходных или машины"
4,"Поразил ценой, и качество на уровне более дорогих аппаратов."
5,"Добротно сделан. Компактный по размеру, при этом качество и громкость голосовых подсказок не страдает. Маршруты прокладывает быстро и по нормальным дорогам. А для комфортной поездки мне ничего больше и не нужно."
2,"Купил пару недель назад, очень остался доволен ценой. Огорчило быстродействие, ПО и его голосовые подсказки. Станет ли на этот навигатор Навител? Может новое ПО исправит ситуацию"
5,"Хотел себе в машину купить трансмиттер потом портативный DVD и потом навигатор. Но когда увидел этот навигатор, понял, что можно очень не плохо сэкономить."
4,"В польщу без проблем!"
5,"Интересовала качественная навигация и воспроизведение видео. Получил и то , и другое в одном &quot;флаконе&quot; как говорится. Так что я доволен приобретением)"
4,"Хорошо выглядит даже когда выключен ))), вообще неплохой навигатор. Еще и с кучей дополнительных фишечек."
4,"Обновления выходят регулярно, приятно что производитель думает от покупателе. Как навигатор вполне хорош. мстар рулит!"
,"Чем отличается от 512В ?"
4,"Аналог 412-ой модели только с экраном поболее. Кому как, а как по мне идеальный размер."
