,"ожидала лучшего, лучше брать небольшой планшет"
4,"Навигатором полностью доволен. Меню достаточно простое. Заявленным характеристикам отвечает. аккумулятор держит 2 часа, больше не проверял. А вот Навител не радует. Несколько раз прокладывал маршруты по плохим дорогам или наматывал петли по развязке, может сильно ошибаться с местоположением внути жилмассива. По курортному городу Железный порт вообще нет карты!"
,"судя по тому, что перелапал в магазине - это наикачественниший навигатор по изготовлению."
,"Доброго дня. Чи є можливість підключити до нього Bluetooth OBD-II ELM327? Чи буде він отримувати данні та виводити на екран?"
,"Корпус приятный на ощупь, не выскальзывает, не остаются следы от пальцев. Моментально откликается на нажатия на экран. Лицензионный навител в комплекте.есть зарядка от 220В что очень полезно. ФМ модулятор очень качественно работает - нет шумов и наводок (практически). карты лежат внутри навика, что наверно плюч, так как потерять карточку невозможно,А для мр3 использую карточку."
,"Как и всякая новая штука - подверглась тестированию. Поставил 5 навигационных программ: примо и ситигид в максимальной информативности и со всеми красивостями летают. А это таки показатель для меня. Тоненький, акумулятор держит долго. есть в комплекте 200В зарядка. Манок получил в подарок - спасибо, мне полезно, чтоб не унижаться перед заправщиками."
,"Наверно, лучший по качеству просто навигатор. НУ +пробки и блютуз."
,"Вернул тенекс - тупил ужастно. Взял этот - отмечу быстродействие. Спасибо за правдивые отзывы."
,"Полезное устройство и очень умное. В нем есть буквально все. Хорошо ориентируется на местности, маршрут прокладывает быстро и верно. В навигатор встроен большой объем памяти, что позволяет записывать на него фильмы, музыку, электронные книги, а также Bluetooth, с помощью которого можно передавать все это без подключению к кому, что очень удобно. Использую не только как навигатор, но и как электронную книгу в дороге. Очень доволен покупкой, особенно за такие небольшие деньги."
,"Отличный навигатор для поездок, сделан качественно, отличный дизайн. Прокладывает маршрут шустро- благодаря мощному процессору, пару секунд в городе, чуть больше за городом, связь со спутниками держин стабильно, множество карт, не глючит. Экранчик выдает приятную для глаза картинку, все четко и ярко, на солнце все также хорошо видно. Есть мультимедийные функции, поддерживает множество самых актуальных форматов, батарея держит довольно долго. Отличный приобретение для приятной поездки и цена не дорогая. Большой экран, сенсор приятный и четкий, железо не тормозит и соображает быстро, отличный аппарат за свои деньги"
3,"А в него можно установить другое ПО, к примеру сити гид или на подобии?"
,"Подскажите, какой максимальный объем microSD поддерживает ?"
,"я купил (заказал в подарок) и могу подтвердить: навител лицензия, быстро работают абсолютно все функции, спутники после суток секунд 30 ловит. Настроил пробки-быстро, удобно, без танцев с бубнами. Навигатор абсолютно всеяден - установил igo ситигид7 и яндекс.пробки. пользуюсь попеременно Навителом55 и яндексом - сравниваю дорожную ситуацию ). Пользуюсь месяц."
,"не могу подключить ни к XP ни к 7-ке. Мини карту не ставил. Навител правильный. В чем проблема!!!"
,"в целом очень доволен"
,"стильный, прорезиненый, быстрый. если кратко."
,"По сравнению тенехом - этот навик шедевр и по дизайну и по быстродействию и особенно по качеству."
5,"В добавок к Навителу поставил карту ИзиГоу. При необходимости переключаюсь. Прибором доволен!"
4,"Навигатор отличный, корпус, холодный старт 30сек, понятный интерфейс. Поставил хваленый Либель, лицензия 120грв, зря отдал, не понравился. Навител 5,5 не супер конечно, но лучше намного. Через блютуз подключил хендс фри, а Яндекс пробки не получаются. Телефон Нокия 5800. Закачал Яндекс навигатор, что дальше? Народ, помогите пожалуйста! Очень нужны пробки!"
,"Отличный навигатор. Выбирал между 520 и 520Б. В 520Б есть блютуз, интернет, пробки и яндекс-карты с пробками. Так же в разницу в цене входит зарядка 220В."
4,"Купил - пользую 6мес. Отличный навигатор не ровня всяким китайцам. В описании указан мини-джек - реально его нету. Может я слепой - но я его найти не смог. Поставил на него кучу всякого софта, дополнительное меню, IGO Primo, SityGuide, OziExplorer, читалку книг (иногда нужно на автостоянках). Всё работает на ура."
4,"Народ, кто на нём ещё какие карты пользует Акромя Навитела??? Отпишитесь опытом."
,"Навигатор сам прикольный. Но Навител это что-то, точнее вообще ничего. Пользовался несколько лет визиком, не без лагов конечно, но в принципе устраивало - потом украли. По Навител вообще доехать куда-то нереально если дороги не знаешь - можно только как карту для ориентации использовать, ехать же по нему нереально - по полям, по лесам, по жд путям, по встречкам и по развязкам через все сплошные и бордюры когда тут-же идет прямая трасса одна из основных в городе-миллионике."
,"Купил Easy Go 520B. Не могу настроить подключение к интернету и соответственно смотреть пробки на дорогах. Подскажите как подключить его к телефону (у меня HTC Desire), чтобы получать инфо он-лайн. Спасибо."
3,"Купил себе такой, а жена купила модель другого производителя (немного дешевле), так вот разницы особой не заметил, разве что экран по качеству картинки получше на этом. На обоих устройствах libelle работает замечательно, никаких лагов. Навител почти сразу же снёс, так как карты официальные - это все равно что &quot;куча плохих слов&quot; )))"
,"Недостатков не обнаружил. Все функции работают на отлично. Очень понравился стильный тонкий 10 миллиметровый корпус с нескользящим и незалапывающимся корпусом."
5,"Хороший навигатор,bluetooth работает отлично,спутники находит бістро"
,"Поддерживает Навител.Пробки через блютуз мобильного телефона."
