,"Скажите, пожалуйста, а как обстоят дела с картами Крыма? Они обновляются?"
,"Купил автомобильный GPS навигатор EasyGo 500 (Корея) «Навител 3.5» год назад. Работает не плохо только есть несколько нюансов. Аккумулятор: Li-Pol 1200mAh максимум выдерживает до 30 мин, а не до 2 часов автономной работы как пишут на сайте. Сразу после покупки не смог подсоединить навигатора к компьютеру. Занесли в сервисный центр на устранение дефекта. Прошло 14 дней ничего не сделали, да ещё и парочку вирусов закинули. Через неделю заглючил Навител 3.5, так как там было несколько червей. Потом отказалась работать внутренняя память, (он её просто не видит из-за вирусов, принесённых из СЦ) пришлось поставить карту на внешнюю micro-SD, и как следствие GPS навигатор стал медленнее работать. Сейчас работает Навител 5.0, скачал с официального сайта."
,"подскажите данная модель имеет возможность через блютуз в телефоне загружать пробки?"
,"Отличный аппарат, все функции работают замечательно, нареканий нет."
,"Всем привет!Юзаю прибор 2 месяца,хочу поделиться впечатлениями.Покупал исключительно для поездки в Германию.Поменял флэшку на 4 Гб.Обновил Навител 5 и установил IGO(пробовал и Primo и 8.3 работает и то и другое),правда с заменой флэшки пришлось совершить танцы с бубном но благодаря Навителовскому форуму все получилось.В IGO Primo установил карты всей Европы набрал нужный адрес предложено было много вариантов пути-выбрал оптимальный и поехал,навик отработал четко привел к самому дому хоть дом и находится в пешеходной зоне.Навител 5 не плохо работает по Украине.А теперь о самом навигаторе - вначале долго искал спутники но это при первом запуске есть такая заморочка,теперь все нормально,Синий зуб работает без нареканий за все время один раз отключился, Fm-трансмитер сначала гудел потом прошло,Интернет работает правда трафик по тарифам оператора,если использовать только Навител-пробки(очень выручает в больших городах) в день сьело несколько копеек.Коннектится с компьютером нормально,можно входить в Win CE и колдовать.Видео кодирую при помощи PocketDivXEncoder-все просто выставляю разрешение и порядок.Батарея держит около сорока минут и начинает квакать,крепление периодически приходится подтягивать.Общее впечатление-нормальное,мне нравится."
1,"Ув. господа, может быть кто-то сталкивался с подобной бедой: треснул экран навигатора, что можно сделать? Понятно, что случай не гарантийный..., кто знает где можно достать на него новый экран и сколько это может стоить...??? Заранее благодарен..."
,"Купил себе сею штуку...В целом остался очень недоволен. Сначало как привезли я вообще не мог поймать спутники 2 дня))) думал уже менять, но тут как только сложил в коробку- заработал Собака. Навител ребята скажу вам старый поэтому рекомендую брать чистый аппарат а вообще аппарат брать этот не рекомендую. Заливал видио- Тормозит. А чтоб не тормозили нужно качество совсем чтоб хреновое было. Музыка играет тихо и хреново-с моб. тела и то звук поприятней и погромше будет, думал в наушниках будет лучше, неа такая же фигня. Ну думаю раздам в машине звук на магнитолу по fm трансмиттеру , у меня запорожец, магнитола совковая но радио ловит хорошо, вообщем остался еще недовольней :)))) Звук вообще что из унитаза + сильные помехи. Общем в трансмиттере за 50 грн. качество в 100 раз лучше))). Теперь о батарее...( это вообще ужас, садится за пол часа , а еси экран на 100 процентов и быстрее. Блютуз вроде работает... Также в нем сильно греется задняя крышка там походу проц находится. В общем думал хоть gps будем нормально работать...но нихрена недавное был в киеве включил навигатор - ловил спутники пол часа, так нихера и не словил. Незнаю как у других навигаторов но у этого когда стоишь на месте он показует скорость то 0 то 1 то 2 км/ч, но было показывал и 5-10-15, помоему полный бред, согласитесь, а может это я ошибаюсь т.к. джипиэс у меня впервые , хрен его знает, но у соседа спрашивал у него когда стоишь на месте скорость не показывает)))) Теперь еще спустя месяц он начал плохо выключатся, иногда нажимаешь на кнопку выключения а он на нее не реагирует:)))) Рассказал вроде все.... Хорошего об данном аппарате не могу сказать ничего..."
5,"У меня камера заднего вида не подключается. И в меню,и в коротенькой инструкции нет ничего о AV-входе,кстати,может кто подскажет,где скачать подробную инструкцию?"
4,"купил около месяца назад. в целом довольно не плохо. на 4+"
,"Сильный гул при подключении Fm трансмитера,может кто что знает?"
5,"В целом отличная штука, хотя немного глючит блютуз. Кому интересно, вот тут можно найти много вкусного, в частности, рецепты как запустить iGO с разрешением 800х480 (я помучался, пока искал): 4pda.ru/forum/index.php?showtopic=64040"
,"У меня вообще интересный банан,система Навител не работает,не соединяется со спутниками.Ставлю флешку с IGO работает нормально,но хотелось бы лицензионный Навител.Отправил в сервисный центр,там его протестили,перезвонили сказали все в норме приедет посмотрим."
5,"прикольный девайс. но: поменял флэшку на 4 гиг, как активировать теперь карту? Может, кто подскажет, как закачать пару карт, типа i-go и garmin? и можно ли вообще? есть ли подробная инструкция, как зайти в системное меню win ce и т.д.?"
