,"Скажіть, будь ласка, а чи показує пробки і варіанти як їх об&quot;їхати ? дякую"
,"Меня, в принципе, устроило все. Навигация хороша, сам навигатор выглядит неплохо. Быстро ловит спутники. При первом запуске спутники нашел минуты за 3, а потом вообще находит в машине за минуту! Маршруты ровные, вообщем всё класс!"
,"Компактный, обзору не мешает, делает все как надо: прокладывает маршруты, показывает ближайшие кафе, или заправку очеь круто!"
,"Нормальный навигатор, быстро &quot;включается&quot;,находит спутники. Карты лично мне для Киева хватает). Радует возможность использоваения его как hands-free устройства для мобильного телефона. удобно."
,"Качественный нави за небольшие деньги. Особенно нравиться то что крепление тут надежное, один раз приклеил и больше не паришься, а так по работе все пучком, маршруты прокладывает хорошо."
,"в этом навигаторе есть утилита gps спидометра - на экране показывает по центру только круглый спидометр, компас и время ?"
,"Девайсик - что надо! Купил другу на д.р. так он радуется до сих пор. Говорит что надежно и просто с ним ездить, да я и сам пару раз с ним каталсяу него в машине, отметил голосовые подсказки: приятным голосом и вовремя. Круто!"
,"Ососбенно хочу отметить внешнюю надежность корпуса и крепления, эти части выполнены с умом и очень достойно. Навигация тоже не подводит и всегда я там где нужно и когда нужно. Теперь это мой незаменимый помошник!"
,"Нормальный навигатор за нормальные деньги. Функций куча, а стоит недорого.Аппарат для тех кто ищет навигатор для навигации, а не для понтов."
,"Простой и удобный и к тому же недорогой. Есть блютуз и видеовход, так что лично мне больше пожалеть от него больше нечего! Кстати, всё это в довольно неплохом корпусе, стильно выглядит!"
,"Прсто приятно пользоваться таким гаджетом! Не тупит, работает отлично и маршруты прокладывает хорошо! Никаких проблем!"
,"Простой, понятный и удобный! Никаких проблем с ним нет, даже падал пару раз,надежно работает, хотя и не дорогой! Рекомендую!"
,"Вообще класс, особенно порадовал фирменный стиль аппарата! Собран на пятерочку, маршруты показывает, еще и некоторые ПДД знает - вообще огонь!"
,"подскажите где сервис по ремонту?пишет ошибка 112 может кто знает?"
,"Уникальный навигатор по хар-ам как для своей цены. Тупо все есть."
,"Устойчивый к падениям - проверено."
3,"в целом устраивает, но придётся переустанавливать карту...."
5,"Неплоха моделька, по всем параметрам вроде как. Взял бы еще, если бы понадобился."
,"Намного приятнее, когда звучит мелодичный женский голос, а в данном случае к сожалению голос мужской"
2,"Не очень нравиться скорость работы навигатора. Все такие 64 мб оперативы это маловато. Динамик рипящий, холодный старт похоже при каждом запуске, всегда ловит спутники минут 15. Карта подробная к ней притензий никаких, но это заслуга навитела, а не палмана. Моя оценка твердая 2"
,"Користуюсь цим навігатором тиждень. Своїх грошей він коштує. Все працює без проблем: навігація, блютуз, FM, відео- та муз-програвачі."
,"весь час пише збився з маршруту хоч і їдеш по прямі прокладає шлях знову по тіж дорозі і через 2-3 хв знову теж задовбує ппц як просто жах перевищення не показує , хоч і є така функція кошмар не знаю може брак"
,"Дайте кто нибудь ссылку для обновления карты!!!! а то в этой многих домов нет! спасибо!!!"
,"Пользуюсь 4й день. Сегодня не понятно с каких соображений при наведении на Запорожье начал дико тормозить, а при нажатии &quot;настройки&quot; во время навигации вообще виснет. Написал письмо, посмотрим, может смогут помочь, если нет, буду возвращать."
1,"НА солнце ничего не видно. Очень низкая контрастность у дисплея. Можно только на звук ориентироваться."
,"Это второй такой девайс в руках. Первый благополучно разбили вдребезги. Но это не вина девайса :). Стал чуть тяжелее, видимо увеличили батарею, сменили флешку с 2 на 4 гига, сменили версию ПО. Улучшения заметны сразу. Что приятно, масштаб автоматически изменяется в зависимости от скорости езды. И скин картинки автоматически меняется на день/ночь. Кино/музыку попробовал - воспроизводит, но пользовать вряд ли стану - есть другие девайсы. Собираюсь использовать гнездо камеры заднего вида, но пока еще не поставил."
,"в меню режим- пешеход, легковой автомобиль. А грузового авто случайно нет?"
,"Взяв собі модель 50С - абсолютно ним щасливий. Зі своєю функцією справляється на ура. Через телефон по блютузу до інтернета підключається без проблем. Ставити альтернативні навігаційні програми дуже легко, оскільки в настройках навігатора передбачене вказування шляху до навігаційного ПО. Встановив собі додатково YandexMap та iGo8."
,"яка довжину автомобільного адаптера зарядки???"
4,"Очень помогает, особенно при плохой или оганиченной видимости."
,"НА СКІЛЬКИ ВІН ВИТРИМУЄ КАРТУ ПАМ'ЯТІ?? НА 8 ГБ ВІЗЬМЕ??"
4,"Стильный навигатор, даже мой босс заценил когда на рыбалку ездили."
5,"Очень понравилось исполнение корпуса. Стильная окантовочка под металл. Никаких тебе люфтов - вообщем все работает и я доволен."
,"народ підскажіть, який з цих навігаторів краще взяти Palmann 43 с,43в,50а,50с???якщо можна напишіть плюси і мінуси одного над іншим!! Буду вдячний)"
,"Мальчики подскажите пожалуйста хочу мужу сделать подарок,в него съемная флешка вставляеться?музыку ,фильмы тянет??"
,"А кто-нибудь знает можно ли установить параллельно 2GIS или какой-нибудь сторонний софт на этот навигатор? Спасибо тому кто ответит!!!"
,"потдерживает он таксометр или нет"
4,"Отличен внешене. Хорошо смотрится как в моей 9-ке, так и о отца в Camry"
,"Работает - нареканий нет."
,"Вообщем очень доволен покупкой. За такую цену, я думаю лучше не найти. Да и он будет намного лучше остальным навигаторов в этом ценовом диапазоне. Хоть навигатор и китайский, но он мне очень понравился."
,"Пользуюсь с апреля. Простой без понтов. Симпатичный. Навителовские карты обновляются с официального сайта. Другими не пользовался. В Крыму завел в степь. В Киеве половина маршрутов не оптимальны, Дорогожичи вместо сквозных проездов (Севастопольская, Дорогожичи и.т.д.) предлагает ехать по кругу. К примеру мост Кирпы видит, но просчитать маршрут через него не хочет. Город Володарка Киевской обл. показывает в под Белорусью и.т.д. Может это и норма для программ навигации, но карту лучше предварительно посмотреть. К железу как таковому вопросов нет"
,"Купил мамке в подарок, она полностью довольна покупкой)))"
,"Кто подскажет, есть номера домов?"
,"Множество функций, заманчивая цена, качественный экран, грамматно построенное меню."
4,"Всех с праздниками! Приобрел навигатор Palmann 50C. Хороший девайс, все работает на 5. Покупкой доволен. Вот только потерял инструкцию, может кто-нибудь подскажет, где можно найти или скачать?"
,"Навител, неплохой экран, довольно шустрый, стильный кожаный чехол"
,"приобрел Палманн, поначалу думал, что за такую низкую цену устройство будет не самое хорошее, но оказалось все иначе."
,"Нормальный навигатор, читает видео, аудио, показывает фото и текст, достаточно быстро загружается и находит маршрут!Своих денег стоит, не жалею что купил!!!"
4,"Купил palmann 50C - всё работает ровно. Прошёл первый холодный старт выставил языки и всё в принципе неплохо. Банально но цена оправдывает качество!"
,"отличный девайс, пользуюсь недавно,но могу сделать пару заключений: 1. ПО нормальное,не глючит 2. удобный и понятный в пользовании 3. не маркий , не затирается 4. интересная цена за бренодвый товар 5. громкий динамик"
,"привет всем , приобрёл интересный навигатор Palmann 50C , в принципе нравится всё, очень удобный ,компактный, неплохо смотрится , для поездок по межгороду установленный на нём навител работает отлично, да и по городу без проблем, минусов пока не обнаружил"
